item_idx,n_desc,bleu_mean,bleu_min,bleu_max,bleu_std
0,5,0.009316845602740579,0.0,0.0342347495586902,0.010512469679157256
1,5,0.01711292202413699,0.0,0.07632156229281341,0.020927364201464845
2,5,0.01656889162000426,0.006344235127160769,0.0341599190576228,0.007749478840922683
3,5,0.02750223688060304,0.009568250292003502,0.0775608385137353,0.021403963660501665
4,4,0.028594082903716855,0.01284618972676772,0.0537621294693616,0.012830425636680307
5,5,0.03366241118377197,0.01851974703879588,0.0612957497932821,0.01617185539558065
6,5,0.017592840963647497,0.011646208769962156,0.03367004718165569,0.006504652295697053
7,4,0.012417950238944283,0.006875734342866205,0.019900763312868126,0.005113193825257439
8,5,0.012685108814824639,0.0,0.0394112020231606,0.011676362154532478
9,5,0.013422477008259093,0.005234499214049016,0.02284411468856457,0.005347364030638648
10,5,0.011680725655202905,0.00360781897716095,0.018850319022747353,0.004522520468117139
11,5,0.019261187274380136,0.011502783619900045,0.057057584162341655,0.014008082369190393
12,5,0.026619820037948178,0.004261094784666207,0.09562406574442013,0.02315329321676472
13,5,0.017794045326365155,0.006875734342866205,0.03370129264673146,0.007642186145850533
14,4,0.018198614295349278,0.009857136427096317,0.029883097780540872,0.006530755028605446
15,5,0.018023099525845635,0.0,0.057885755801795086,0.01692225238383481
16,5,0.011719288614490465,0.0,0.019383418023456653,0.005596169218462378
17,5,0.01601516276454708,0.0,0.06801132705048075,0.01937796173257245
18,5,0.0077903579782120135,0.0,0.01428363257865929,0.004531946951128733
19,5,0.01601927417140444,0.011277537484327563,0.03034815223262279,0.0057313811290393025
20,5,0.014558807844260214,0.006753044918332215,0.045298051905638646,0.010872443014724616
21,4,0.021805128046699127,0.004158344435452049,0.05218398759828462,0.015528350709758283
22,4,0.010710099963712584,0.0,0.01893405895135384,0.008262902750816417
23,4,0.008146093957363255,0.0,0.020364851292391,0.007517373281763944
24,5,0.020134420030129864,0.010802314890908065,0.033140738502115685,0.007421280708496117
25,5,0.019060213783937886,0.005751876324997854,0.06498093221863571,0.018903253117556456
26,4,0.03598582167417574,0.018476860420522198,0.08358504262657974,0.02415019778039033
27,5,0.026155987173210653,0.013217947626377298,0.08334454495388126,0.020922301062982332
28,4,0.01688528612032164,0.014228844094632594,0.0204689180374571,0.0027076226881196505
29,5,0.01401691653447216,0.003217153281103461,0.030548763982055634,0.00783494976905769
30,5,0.010231397024223623,0.0,0.02109645311376129,0.005956567292833209
31,5,0.006563374775894003,0.0,0.014418280697523623,0.0046814088868878155
32,5,0.019184841852121323,0.004912503499103196,0.04620256681003074,0.01332287412471062
33,4,0.015093254320663288,0.011277537484327563,0.01909690192411307,0.002851204995065976
34,5,0.009057104657259635,0.0019146333055993624,0.02274122123480211,0.005553135576227623
35,5,0.034659882613207973,0.0105890096013276,0.06393430688266227,0.01697809047494275
36,5,0.015485730482723656,0.009505116453442368,0.03104578053097407,0.0061534216205655825
37,5,0.012582675452421898,0.0,0.030424322094982095,0.010791349339535516
38,5,0.012533786676813614,0.0,0.03667625610580776,0.012329308807499858
39,5,0.013949019301983407,0.0015675691681615517,0.032195554434125126,0.008724354146074012
40,5,0.01108594232951197,0.0,0.023932595221309683,0.005692298362806039
41,5,0.036542872574804326,0.020054612704321854,0.06734850273596513,0.01820184724104562
42,5,0.03571705301800139,0.0,0.18951629567590741,0.0538045458622285
43,5,0.018268382322805372,0.012109013026441871,0.05423399840034429,0.01246831399535945
44,5,0.011816423890430838,0.005751876324997854,0.019383418023456653,0.003407311211649614
45,5,0.01884646408395114,0.007764220917386244,0.031021577127506993,0.006919142535872685
46,5,0.014059341031551934,0.008687475782716616,0.032674259892078124,0.007172732698871402
47,5,0.012632315843439152,0.0,0.03102878467054691,0.010011080166938455
48,5,0.015580560180717537,0.007902955857553923,0.03367004718165569,0.0071474708029580555
49,5,0.012893861430781643,0.0,0.028978567626063368,0.009237694016884075
50,4,0.01811633011643577,0.0030890010399276377,0.05043209294174025,0.015135924297678589
51,5,0.014317692267446145,0.0,0.03104578053097407,0.008415220084659175
52,5,0.021878782584263064,0.00402691708552917,0.10145249973866254,0.024851842625892254
53,5,0.01587807017267897,0.0,0.03230645681297444,0.010150117404530572
54,5,0.005573069888316974,0.0,0.0137098614488229,0.005340526834910667
55,5,0.026562781315033257,0.0041174842480063345,0.06539559067884253,0.017665638998896668
56,5,0.012679983839753856,0.00879570644976744,0.019463404667337623,0.0038471915489828225
57,5,0.030661603442672086,0.0,0.175322016496728,0.0496780921230583
58,5,0.026804574643811814,0.008291433986738097,0.11146727460890443,0.029203671271366267
59,5,0.015853323561109783,0.007587356927317703,0.030934588294313718,0.005925785047009
60,5,0.014344092672664593,0.0005906409338274217,0.053463162573637084,0.013851152923815493
61,5,0.018303886591203515,0.0,0.03639945549178427,0.013359225638988429
62,4,0.016362179856817392,0.0,0.026920508809559315,0.009221296645980679
63,5,0.02048642728515059,0.0,0.051366639095059535,0.014392823548392905
64,5,0.0067070473771222465,0.0,0.01714632199160149,0.007050169545736854
65,5,0.0157490640938012,0.009888793861268178,0.03112418223320603,0.006139945613203584
66,5,0.01560701888078706,0.008803215238933213,0.022935790603966322,0.0044854503602956355
67,5,0.01639012940261308,0.007559559445663099,0.0289395234284078,0.006490739402355603
68,5,0.03883488464963978,0.0,0.16234136350505612,0.04600759771749699
69,5,0.054475474941449956,0.0169861974906263,0.18934058951353838,0.0489948251649997
70,5,0.01216214516293523,0.0008691988385534272,0.02432542569851427,0.006164303231234251
71,4,0.015406576797692863,0.012509436754462665,0.018798317647335087,0.0024247660781381844
72,4,0.010071451679385359,0.0,0.017395797375642234,0.006626272746079265
73,5,0.013532747724096305,0.004019169513391414,0.0204689180374571,0.005679629890482594
74,5,0.013983695670054705,0.0018620480225327114,0.028240990488565418,0.008796106663406645
75,5,0.01680915361831982,0.004668190595953345,0.03507841920856979,0.009355034609620777
76,5,0.015796642064186274,0.0012495867718131037,0.04167227247694064,0.012728635031488713
77,5,0.014437308141885829,0.0,0.057259987315337754,0.015321563927482806
78,5,0.021488255384132238,0.012204811114796843,0.040981883354924725,0.009583833045946706
79,5,0.014735183710266359,0.0,0.06541868941754436,0.018325844499165838
80,5,0.03551923687002316,0.009615237651635541,0.12070840796244872,0.03255332749905426
81,5,0.012090423446831478,0.0,0.02799103318440567,0.008193081767955818
82,5,0.018282901175230355,0.012300686288463768,0.04091032653880249,0.00825357547105458
83,5,0.021139627427665064,0.0072541634626372775,0.043748114312246456,0.01368850539937899
84,3,0.007521184190764453,0.0,0.022710171642664416,0.011652137433796896
85,5,0.016348870516261393,0.007594611092001413,0.04576989215762564,0.010883887692350063
86,5,0.022010531452097158,0.0,0.0806519231514965,0.0297355457101468
87,5,0.014560691684028574,0.006356806438755457,0.02598161264714833,0.005977024292916326
88,4,0.010383748989645118,0.0,0.03102878467054691,0.008860553354525853
89,5,0.02173183183789611,0.007594611092001413,0.04829027362797447,0.012065680281077093
