item_idx,n_desc,rougeL_mean,rougeL_min,rougeL_max,rougeL_std
0,5,0.1700568086530809,0.06451612903225808,0.34146341463414637,0.09774711983863328
1,5,0.2566394249743001,0.16326530612244897,0.41379310344827586,0.06894968093662708
2,5,0.22452725203262824,0.11538461538461538,0.3103448275862069,0.05992993977279239
3,5,0.2489918681772901,0.11428571428571427,0.43478260869565216,0.10734741971909938
4,4,0.22415720674234604,0.1111111111111111,0.2631578947368421,0.05496635661682657
5,5,0.2577687519958382,0.15,0.36363636363636365,0.06687212055202857
6,5,0.24196769514737193,0.17142857142857143,0.3448275862068965,0.04208972526794275
7,4,0.1763781223083549,0.10256410256410255,0.23076923076923075,0.04551159521894038
8,5,0.2049751125755183,0.07407407407407407,0.33333333333333337,0.08921960178246702
9,5,0.1821496933730896,0.05128205128205127,0.27027027027027023,0.06348084765101966
10,5,0.22099149645312055,0.13793103448275862,0.30769230769230765,0.06171143891581518
11,5,0.17857185656910837,0.05714285714285714,0.4242424242424242,0.1060116494448864
12,5,0.26029270715560104,0.14814814814814817,0.45161290322580644,0.08885331061757763
13,5,0.19743935818935815,0.0625,0.35555555555555557,0.10797339663055013
14,4,0.25695662768031186,0.15789473684210525,0.3157894736842105,0.05681657381555739
15,5,0.20834992657729684,0.0425531914893617,0.48,0.1312463946720236
16,5,0.1486568518817324,0.05263157894736842,0.22222222222222224,0.04882110171279901
17,5,0.18912479270347662,0.06451612903225808,0.31578947368421056,0.09443981093944558
18,5,0.14448562923103198,0.05263157894736841,0.22222222222222218,0.05237187214502513
19,5,0.2433604181012412,0.17142857142857143,0.3225806451612903,0.05091189030990339
20,5,0.14550474820105588,0.05405405405405406,0.34615384615384615,0.08298126376684231
21,4,0.2711519315013939,0.13333333333333333,0.45833333333333326,0.1250816528073072
22,4,0.19777607835867014,0.125,0.2758620689655172,0.05934509774707602
23,4,0.1577098301062739,0.10526315789473684,0.2285714285714286,0.04183097487507938
24,5,0.2683660696601873,0.1111111111111111,0.6,0.12876847532781696
25,5,0.18080261992704746,0.10810810810810811,0.26666666666666666,0.05355688766016052
26,4,0.3420308435525827,0.24000000000000002,0.4999999999999999,0.09775485706962632
27,5,0.20145032942585778,0.13793103448275862,0.3076923076923077,0.05046529628240313
28,4,0.21716572280903015,0.12903225806451615,0.29629629629629634,0.05245904519680204
29,5,0.20588690879013463,0.11428571428571427,0.3,0.065670205364298
30,5,0.16232984806967937,0.05882352941176471,0.25925925925925924,0.06850140839392112
31,5,0.13208882783882783,0.03333333333333333,0.23076923076923078,0.06510322517927922
32,5,0.18841092003638327,0.05128205128205128,0.3157894736842105,0.1012641616255443
33,4,0.20999327763925094,0.13333333333333333,0.3225806451612903,0.0731304501282983
34,5,0.13255896266332745,0.037037037037037035,0.2608695652173913,0.07932919265573803
35,5,0.33825999895979614,0.27586206896551724,0.46153846153846156,0.0592376986281692
36,5,0.22858307293193286,0.11764705882352942,0.27586206896551724,0.04877832219393555
37,5,0.1554490029433765,0.04444444444444444,0.2424242424242424,0.06681853928375843
38,5,0.19347305557335137,0.05128205128205129,0.3636363636363637,0.10300707935526987
39,5,0.20530084739612714,0.05128205128205129,0.3888888888888889,0.09397007982178143
40,5,0.12803539759299187,0.049999999999999996,0.1764705882352941,0.03948151340268359
41,5,0.26257421053159,0.13793103448275862,0.37837837837837834,0.0766140155796247
42,5,0.19302589807852966,0.11428571428571427,0.2962962962962963,0.06087853755772814
43,5,0.2692496487349428,0.12121212121212122,0.37837837837837834,0.07083387140152016
44,5,0.16693470110898506,0.11428571428571428,0.23076923076923075,0.03989108971664774
45,5,0.23437471412316616,0.10526315789473685,0.41666666666666663,0.10242948095747284
46,5,0.19522833815763352,0.0909090909090909,0.3333333333333333,0.06651987165275823
47,5,0.1701437927984851,0.0851063829787234,0.3125,0.06685477625554742
48,5,0.2379069699921775,0.12765957446808512,0.35,0.07164461172839762
49,5,0.15943327233649815,0.11428571428571427,0.2162162162162162,0.030895763192038985
50,4,0.32056455449312593,0.20408163265306123,0.625,0.16394476909731584
51,5,0.17058630894582671,0.0,0.2962962962962963,0.08065383111082844
52,5,0.17550942179513607,0.07142857142857142,0.3076923076923077,0.07151012309931655
53,5,0.16596595837113076,0.0625,0.33333333333333337,0.07306450163767877
54,5,0.13577874090485165,0.0,0.2926829268292683,0.09180584972612149
55,5,0.2653211517165005,0.14285714285714285,0.46511627906976744,0.08170466217655267
56,5,0.16609323480907545,0.125,0.24000000000000002,0.03759213082944919
57,5,0.2352460788836351,0.07692307692307693,0.3448275862068966,0.07235365215539331
58,5,0.2600505135219718,0.14285714285714288,0.44,0.08751644893571572
59,5,0.20805825978649173,0.12903225806451615,0.30303030303030304,0.05722164650526313
60,5,0.21347299636353873,0.14285714285714288,0.30769230769230765,0.053992971454958995
61,5,0.21676738149429847,0.05714285714285715,0.41379310344827586,0.09827134643886835
62,4,0.1476553812692651,0.05714285714285715,0.2380952380952381,0.06030759262149495
63,5,0.24667324688569484,0.10526315789473685,0.4615384615384615,0.10675324334187357
64,5,0.198715139601124,0.10810810810810811,0.29629629629629634,0.053829799169439765
65,5,0.2459757513429254,0.16666666666666669,0.3333333333333333,0.04117822269009307
66,5,0.24396426394652065,0.06666666666666667,0.34146341463414637,0.08423592122853582
67,5,0.21948000885271363,0.11764705882352941,0.4102564102564102,0.08549336256632713
68,5,0.31202202204463175,0.125,0.45161290322580644,0.11407101353754591
69,5,0.41354948594079044,0.23999999999999996,0.5599999999999999,0.09521509838676404
70,5,0.15559318811238876,0.029850746268656716,0.22222222222222224,0.06586935909074271
71,4,0.14765017117958293,0.1111111111111111,0.21428571428571427,0.036344706589223855
72,4,0.14744832041343667,0.06666666666666667,0.22222222222222224,0.059182893307256186
73,5,0.1848664431520503,0.08,0.30434782608695654,0.07218290974337503
74,5,0.22303219118125947,0.08695652173913043,0.39999999999999997,0.08529928454329988
75,5,0.21190677144405096,0.12121212121212123,0.3225806451612903,0.05998861048283945
76,5,0.20168416220288066,0.06666666666666667,0.3703703703703704,0.09714312713496484
77,5,0.17490331019742783,0.060606060606060615,0.2941176470588235,0.06854134945325134
78,5,0.21400299802707706,0.12903225806451615,0.33333333333333337,0.0626627242869811
79,5,0.1607856146434817,0.045454545454545456,0.4827586206896552,0.11931754136995766
80,5,0.3460944670537643,0.2553191489361702,0.46808510638297873,0.06668619418956212
81,5,0.18609711140712157,0.044444444444444446,0.3448275862068965,0.09167717326482622
82,5,0.22033476266766527,0.06666666666666667,0.5454545454545454,0.12098925314749123
83,5,0.17222222222222222,0.05,0.3333333333333333,0.07193212315575327
84,3,0.23120089786756445,0.07407407407407407,0.5454545454545454,0.2434198287178623
