text_idx,gt_rank,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10,recall@50,precision@50
248,105,0,0.0,0,0.0,0,0.0,0,0.0
248,3685,0,0.0,0,0.0,0,0.0,0,0.0
248,1451,0,0.0,0,0.0,0,0.0,0,0.0
254,805,0,0.0,0,0.0,0,0.0,0,0.0
254,351,0,0.0,0,0.0,0,0.0,0,0.0
254,810,0,0.0,0,0.0,0,0.0,0,0.0
254,151,0,0.0,0,0.0,0,0.0,0,0.0
254,832,0,0.0,0,0.0,0,0.0,0,0.0
266,241,0,0.0,0,0.0,0,0.0,0,0.0
266,605,0,0.0,0,0.0,0,0.0,0,0.0
266,71,0,0.0,0,0.0,0,0.0,0,0.0
266,550,0,0.0,0,0.0,0,0.0,0,0.0
266,2391,0,0.0,0,0.0,0,0.0,0,0.0
301,821,0,0.0,0,0.0,0,0.0,0,0.0
301,441,0,0.0,0,0.0,0,0.0,0,0.0
301,242,0,0.0,0,0.0,0,0.0,0,0.0
301,1743,0,0.0,0,0.0,0,0.0,0,0.0
301,3838,0,0.0,0,0.0,0,0.0,0,0.0
306,340,0,0.0,0,0.0,0,0.0,0,0.0
306,350,0,0.0,0,0.0,0,0.0,0,0.0
306,0,1,1.0,1,0.8,1,0.4,1,0.08
306,10,0,0.0,0,0.0,0,0.0,1,0.08
323,5,0,0.0,0,0.0,1,0.5,1,0.1
323,1703,0,0.0,0,0.0,0,0.0,0,0.0
323,30,0,0.0,0,0.0,0,0.0,1,0.1
323,10,0,0.0,0,0.0,0,0.0,1,0.1
323,69,0,0.0,0,0.0,0,0.0,0,0.0
341,2905,0,0.0,0,0.0,0,0.0,0,0.0
341,2684,0,0.0,0,0.0,0,0.0,0,0.0
341,360,0,0.0,0,0.0,0,0.0,0,0.0
341,1283,0,0.0,0,0.0,0,0.0,0,0.0
341,2636,0,0.0,0,0.0,0,0.0,0,0.0
345,1851,0,0.0,0,0.0,0,0.0,0,0.0
345,585,0,0.0,0,0.0,0,0.0,0,0.0
345,1126,0,0.0,0,0.0,0,0.0,0,0.0
345,655,0,0.0,0,0.0,0,0.0,0,0.0
345,325,0,0.0,0,0.0,0,0.0,0,0.0
348,258,0,0.0,0,0.0,0,0.0,0,0.0
348,19,0,0.0,0,0.0,0,0.0,1,0.08
348,63,0,0.0,0,0.0,0,0.0,0,0.0
348,1192,0,0.0,0,0.0,0,0.0,0,0.0
363,3602,0,0.0,0,0.0,0,0.0,0,0.0
363,261,0,0.0,0,0.0,0,0.0,0,0.0
363,314,0,0.0,0,0.0,0,0.0,0,0.0
363,1120,0,0.0,0,0.0,0,0.0,0,0.0
375,990,0,0.0,0,0.0,0,0.0,0,0.0
375,400,0,0.0,0,0.0,0,0.0,0,0.0
375,214,0,0.0,0,0.0,0,0.0,0,0.0
375,112,0,0.0,0,0.0,0,0.0,0,0.0
375,338,0,0.0,0,0.0,0,0.0,0,0.0
391,777,0,0.0,0,0.0,0,0.0,0,0.0
391,2363,0,0.0,0,0.0,0,0.0,0,0.0
391,1948,0,0.0,0,0.0,0,0.0,0,0.0
391,513,0,0.0,0,0.0,0,0.0,0,0.0
391,1048,0,0.0,0,0.0,0,0.0,0,0.0
394,454,0,0.0,0,0.0,0,0.0,0,0.0
394,46,0,0.0,0,0.0,0,0.0,1,0.08
394,90,0,0.0,0,0.0,0,0.0,0,0.0
394,39,0,0.0,0,0.0,0,0.0,1,0.08
401,1857,0,0.0,0,0.0,0,0.0,0,0.0
401,9,0,0.0,0,0.0,1,0.1,1,0.1
401,1733,0,0.0,0,0.0,0,0.0,0,0.0
401,136,0,0.0,0,0.0,0,0.0,0,0.0
401,2943,0,0.0,0,0.0,0,0.0,0,0.0
409,297,0,0.0,0,0.0,0,0.0,0,0.0
409,623,0,0.0,0,0.0,0,0.0,0,0.0
409,377,0,0.0,0,0.0,0,0.0,0,0.0
409,322,0,0.0,0,0.0,0,0.0,0,0.0
421,394,0,0.0,0,0.0,0,0.0,0,0.0
421,344,0,0.0,0,0.0,0,0.0,0,0.0
421,1481,0,0.0,0,0.0,0,0.0,0,0.0
421,441,0,0.0,0,0.0,0,0.0,0,0.0
421,1281,0,0.0,0,0.0,0,0.0,0,0.0
423,24,0,0.0,0,0.0,0,0.0,1,0.1
423,13,0,0.0,0,0.0,0,0.0,1,0.1
423,5,0,0.0,0,0.0,1,0.5,1,0.1
423,0,1,1.0,1,1.0,1,0.5,1,0.1
423,77,0,0.0,0,0.0,0,0.0,0,0.0
424,228,0,0.0,0,0.0,0,0.0,0,0.0
424,632,0,0.0,0,0.0,0,0.0,0,0.0
424,1402,0,0.0,0,0.0,0,0.0,0,0.0
424,1749,0,0.0,0,0.0,0,0.0,0,0.0
424,1022,0,0.0,0,0.0,0,0.0,0,0.0
426,942,0,0.0,0,0.0,0,0.0,0,0.0
426,989,0,0.0,0,0.0,0,0.0,0,0.0
426,799,0,0.0,0,0.0,0,0.0,0,0.0
426,1181,0,0.0,0,0.0,0,0.0,0,0.0
426,763,0,0.0,0,0.0,0,0.0,0,0.0
428,10,0,0.0,0,0.0,0,0.0,1,0.08
428,20,0,0.0,0,0.0,0,0.0,1,0.08
428,0,1,1.0,1,0.8,1,0.4,1,0.08
428,0,1,1.0,1,0.8,1,0.4,1,0.08
438,10,0,0.0,0,0.0,0,0.0,1,0.1
438,251,0,0.0,0,0.0,0,0.0,0,0.0
438,134,0,0.0,0,0.0,0,0.0,0,0.0
438,10,0,0.0,0,0.0,0,0.0,1,0.1
438,148,0,0.0,0,0.0,0,0.0,0,0.0
444,552,0,0.0,0,0.0,0,0.0,0,0.0
444,1659,0,0.0,0,0.0,0,0.0,0,0.0
444,810,0,0.0,0,0.0,0,0.0,0,0.0
444,1633,0,0.0,0,0.0,0,0.0,0,0.0
444,439,0,0.0,0,0.0,0,0.0,0,0.0
447,393,0,0.0,0,0.0,0,0.0,0,0.0
447,73,0,0.0,0,0.0,0,0.0,0,0.0
447,1213,0,0.0,0,0.0,0,0.0,0,0.0
447,629,0,0.0,0,0.0,0,0.0,0,0.0
447,221,0,0.0,0,0.0,0,0.0,0,0.0
448,2004,0,0.0,0,0.0,0,0.0,0,0.0
448,1289,0,0.0,0,0.0,0,0.0,0,0.0
448,1035,0,0.0,0,0.0,0,0.0,0,0.0
448,3726,0,0.0,0,0.0,0,0.0,0,0.0
461,114,0,0.0,0,0.0,0,0.0,0,0.0
461,168,0,0.0,0,0.0,0,0.0,0,0.0
461,286,0,0.0,0,0.0,0,0.0,0,0.0
461,270,0,0.0,0,0.0,0,0.0,0,0.0
461,3488,0,0.0,0,0.0,0,0.0,0,0.0
486,129,0,0.0,0,0.0,0,0.0,0,0.0
486,39,0,0.0,0,0.0,0,0.0,1,0.1
486,91,0,0.0,0,0.0,0,0.0,0,0.0
486,0,1,1.0,1,1.0,1,0.5,1,0.1
486,421,0,0.0,0,0.0,0,0.0,0,0.0
495,458,0,0.0,0,0.0,0,0.0,0,0.0
495,882,0,0.0,0,0.0,0,0.0,0,0.0
495,94,0,0.0,0,0.0,0,0.0,0,0.0
495,1139,0,0.0,0,0.0,0,0.0,0,0.0
495,479,0,0.0,0,0.0,0,0.0,0,0.0
499,14,0,0.0,0,0.0,0,0.0,1,0.08
499,96,0,0.0,0,0.0,0,0.0,0,0.0
499,465,0,0.0,0,0.0,0,0.0,0,0.0
499,66,0,0.0,0,0.0,0,0.0,0,0.0
517,317,0,0.0,0,0.0,0,0.0,0,0.0
517,354,0,0.0,0,0.0,0,0.0,0,0.0
517,359,0,0.0,0,0.0,0,0.0,0,0.0
517,239,0,0.0,0,0.0,0,0.0,0,0.0
517,5,0,0.0,0,0.0,1,0.5,1,0.1
519,1359,0,0.0,0,0.0,0,0.0,0,0.0
519,389,0,0.0,0,0.0,0,0.0,0,0.0
519,559,0,0.0,0,0.0,0,0.0,0,0.0
519,1901,0,0.0,0,0.0,0,0.0,0,0.0
519,1179,0,0.0,0,0.0,0,0.0,0,0.0
520,531,0,0.0,0,0.0,0,0.0,0,0.0
520,1875,0,0.0,0,0.0,0,0.0,0,0.0
520,478,0,0.0,0,0.0,0,0.0,0,0.0
520,578,0,0.0,0,0.0,0,0.0,0,0.0
520,566,0,0.0,0,0.0,0,0.0,0,0.0
523,215,0,0.0,0,0.0,0,0.0,0,0.0
523,0,1,1.0,1,1.0,1,0.5,1,0.1
523,60,0,0.0,0,0.0,0,0.0,0,0.0
523,425,0,0.0,0,0.0,0,0.0,0,0.0
523,29,0,0.0,0,0.0,0,0.0,1,0.1
535,103,0,0.0,0,0.0,0,0.0,0,0.0
535,191,0,0.0,0,0.0,0,0.0,0,0.0
535,142,0,0.0,0,0.0,0,0.0,0,0.0
535,176,0,0.0,0,0.0,0,0.0,0,0.0
537,173,0,0.0,0,0.0,0,0.0,0,0.0
537,502,0,0.0,0,0.0,0,0.0,0,0.0
537,502,0,0.0,0,0.0,0,0.0,0,0.0
537,44,0,0.0,0,0.0,0,0.0,1,0.1
537,558,0,0.0,0,0.0,0,0.0,0,0.0
541,314,0,0.0,0,0.0,0,0.0,0,0.0
541,503,0,0.0,0,0.0,0,0.0,0,0.0
541,507,0,0.0,0,0.0,0,0.0,0,0.0
541,127,0,0.0,0,0.0,0,0.0,0,0.0
543,42,0,0.0,0,0.0,0,0.0,1,0.08
543,568,0,0.0,0,0.0,0,0.0,0,0.0
543,1690,0,0.0,0,0.0,0,0.0,0,0.0
543,590,0,0.0,0,0.0,0,0.0,0,0.0
580,30,0,0.0,0,0.0,0,0.0,1,0.1
580,706,0,0.0,0,0.0,0,0.0,0,0.0
580,698,0,0.0,0,0.0,0,0.0,0,0.0
580,214,0,0.0,0,0.0,0,0.0,0,0.0
580,20,0,0.0,0,0.0,0,0.0,1,0.1
590,1332,0,0.0,0,0.0,0,0.0,0,0.0
590,2959,0,0.0,0,0.0,0,0.0,0,0.0
590,1125,0,0.0,0,0.0,0,0.0,0,0.0
590,1902,0,0.0,0,0.0,0,0.0,0,0.0
590,708,0,0.0,0,0.0,0,0.0,0,0.0
616,218,0,0.0,0,0.0,0,0.0,0,0.0
616,62,0,0.0,0,0.0,0,0.0,0,0.0
616,1535,0,0.0,0,0.0,0,0.0,0,0.0
616,808,0,0.0,0,0.0,0,0.0,0,0.0
616,377,0,0.0,0,0.0,0,0.0,0,0.0
626,162,0,0.0,0,0.0,0,0.0,0,0.0
626,185,0,0.0,0,0.0,0,0.0,0,0.0
626,2282,0,0.0,0,0.0,0,0.0,0,0.0
626,2076,0,0.0,0,0.0,0,0.0,0,0.0
626,499,0,0.0,0,0.0,0,0.0,0,0.0
629,669,0,0.0,0,0.0,0,0.0,0,0.0
629,67,0,0.0,0,0.0,0,0.0,0,0.0
