text_idx,gt_rank,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10,recall@50,precision@50
580,285,0,0.0,0,0.0,0,0.0,0,0.0
580,163,0,0.0,0,0.0,0,0.0,0,0.0
590,1181,0,0.0,0,0.0,0,0.0,0,0.0
590,119,0,0.0,0,0.0,0,0.0,0,0.0
590,1121,0,0.0,0,0.0,0,0.0,0,0.0
590,19,0,0.0,0,0.0,0,0.0,1,0.1
590,278,0,0.0,0,0.0,0,0.0,0,0.0
616,24,0,0.0,0,0.0,0,0.0,1,0.1
616,60,0,0.0,0,0.0,0,0.0,0,0.0
616,42,0,0.0,0,0.0,0,0.0,1,0.1
616,77,0,0.0,0,0.0,0,0.0,0,0.0
616,29,0,0.0,0,0.0,0,0.0,1,0.1
626,39,0,0.0,0,0.0,0,0.0,1,0.1
626,129,0,0.0,0,0.0,0,0.0,0,0.0
626,109,0,0.0,0,0.0,0,0.0,0,0.0
626,1420,0,0.0,0,0.0,0,0.0,0,0.0
626,90,0,0.0,0,0.0,0,0.0,0,0.0
629,555,0,0.0,0,0.0,0,0.0,0,0.0
629,509,0,0.0,0,0.0,0,0.0,0,0.0
629,148,0,0.0,0,0.0,0,0.0,0,0.0
629,476,0,0.0,0,0.0,0,0.0,0,0.0
629,589,0,0.0,0,0.0,0,0.0,0,0.0
646,935,0,0.0,0,0.0,0,0.0,0,0.0
646,1017,0,0.0,0,0.0,0,0.0,0,0.0
646,570,0,0.0,0,0.0,0,0.0,0,0.0
646,248,0,0.0,0,0.0,0,0.0,0,0.0
646,438,0,0.0,0,0.0,0,0.0,0,0.0
652,287,0,0.0,0,0.0,0,0.0,0,0.0
652,82,0,0.0,0,0.0,0,0.0,0,0.0
652,54,0,0.0,0,0.0,0,0.0,0,0.0
652,24,0,0.0,0,0.0,0,0.0,1,0.1
652,34,0,0.0,0,0.0,0,0.0,1,0.1
655,383,0,0.0,0,0.0,0,0.0,0,0.0
655,270,0,0.0,0,0.0,0,0.0,0,0.0
655,353,0,0.0,0,0.0,0,0.0,0,0.0
655,231,0,0.0,0,0.0,0,0.0,0,0.0
655,277,0,0.0,0,0.0,0,0.0,0,0.0
665,924,0,0.0,0,0.0,0,0.0,0,0.0
665,376,0,0.0,0,0.0,0,0.0,0,0.0
665,594,0,0.0,0,0.0,0,0.0,0,0.0
665,679,0,0.0,0,0.0,0,0.0,0,0.0
665,829,0,0.0,0,0.0,0,0.0,0,0.0
672,146,0,0.0,0,0.0,0,0.0,0,0.0
672,35,0,0.0,0,0.0,0,0.0,1,0.1
672,2097,0,0.0,0,0.0,0,0.0,0,0.0
672,392,0,0.0,0,0.0,0,0.0,0,0.0
672,998,0,0.0,0,0.0,0,0.0,0,0.0
677,218,0,0.0,0,0.0,0,0.0,0,0.0
677,400,0,0.0,0,0.0,0,0.0,0,0.0
677,164,0,0.0,0,0.0,0,0.0,0,0.0
677,169,0,0.0,0,0.0,0,0.0,0,0.0
677,212,0,0.0,0,0.0,0,0.0,0,0.0
680,787,0,0.0,0,0.0,0,0.0,0,0.0
680,160,0,0.0,0,0.0,0,0.0,0,0.0
680,710,0,0.0,0,0.0,0,0.0,0,0.0
680,59,0,0.0,0,0.0,0,0.0,0,0.0
680,187,0,0.0,0,0.0,0,0.0,0,0.0
691,184,0,0.0,0,0.0,0,0.0,0,0.0
691,125,0,0.0,0,0.0,0,0.0,0,0.0
691,38,0,0.0,0,0.0,0,0.0,1,0.1
691,116,0,0.0,0,0.0,0,0.0,0,0.0
691,116,0,0.0,0,0.0,0,0.0,0,0.0
703,304,0,0.0,0,0.0,0,0.0,0,0.0
703,40,0,0.0,0,0.0,0,0.0,1,0.1
703,175,0,0.0,0,0.0,0,0.0,0,0.0
703,150,0,0.0,0,0.0,0,0.0,0,0.0
703,423,0,0.0,0,0.0,0,0.0,0,0.0
748,372,0,0.0,0,0.0,0,0.0,0,0.0
748,409,0,0.0,0,0.0,0,0.0,0,0.0
748,478,0,0.0,0,0.0,0,0.0,0,0.0
748,424,0,0.0,0,0.0,0,0.0,0,0.0
748,297,0,0.0,0,0.0,0,0.0,0,0.0
779,23,0,0.0,0,0.0,0,0.0,1,0.1
779,24,0,0.0,0,0.0,0,0.0,1,0.1
779,342,0,0.0,0,0.0,0,0.0,0,0.0
779,34,0,0.0,0,0.0,0,0.0,1,0.1
779,14,0,0.0,0,0.0,0,0.0,1,0.1
790,0,1,1.0,1,1.0,1,0.5,1,0.1
790,726,0,0.0,0,0.0,0,0.0,0,0.0
790,90,0,0.0,0,0.0,0,0.0,0,0.0
790,812,0,0.0,0,0.0,0,0.0,0,0.0
790,281,0,0.0,0,0.0,0,0.0,0,0.0
801,786,0,0.0,0,0.0,0,0.0,0,0.0
801,221,0,0.0,0,0.0,0,0.0,0,0.0
801,1225,0,0.0,0,0.0,0,0.0,0,0.0
801,206,0,0.0,0,0.0,0,0.0,0,0.0
801,206,0,0.0,0,0.0,0,0.0,0,0.0
808,0,1,1.0,1,1.0,1,0.5,1,0.1
808,10,0,0.0,0,0.0,0,0.0,1,0.1
808,5,0,0.0,0,0.0,1,0.5,1,0.1
808,80,0,0.0,0,0.0,0,0.0,0,0.0
808,0,1,1.0,1,1.0,1,0.5,1,0.1
824,2212,0,0.0,0,0.0,0,0.0,0,0.0
824,673,0,0.0,0,0.0,0,0.0,0,0.0
824,68,0,0.0,0,0.0,0,0.0,0,0.0
824,881,0,0.0,0,0.0,0,0.0,0,0.0
824,88,0,0.0,0,0.0,0,0.0,0,0.0
826,51,0,0.0,0,0.0,0,0.0,0,0.0
826,289,0,0.0,0,0.0,0,0.0,0,0.0
826,277,0,0.0,0,0.0,0,0.0,0,0.0
826,250,0,0.0,0,0.0,0,0.0,0,0.0
826,80,0,0.0,0,0.0,0,0.0,0,0.0
829,719,0,0.0,0,0.0,0,0.0,0,0.0
829,734,0,0.0,0,0.0,0,0.0,0,0.0
829,739,0,0.0,0,0.0,0,0.0,0,0.0
829,243,0,0.0,0,0.0,0,0.0,0,0.0
868,130,0,0.0,0,0.0,0,0.0,0,0.0
868,148,0,0.0,0,0.0,0,0.0,0,0.0
868,148,0,0.0,0,0.0,0,0.0,0,0.0
868,172,0,0.0,0,0.0,0,0.0,0,0.0
868,174,0,0.0,0,0.0,0,0.0,0,0.0
869,110,0,0.0,0,0.0,0,0.0,0,0.0
869,486,0,0.0,0,0.0,0,0.0,0,0.0
869,467,0,0.0,0,0.0,0,0.0,0,0.0
869,390,0,0.0,0,0.0,0,0.0,0,0.0
869,111,0,0.0,0,0.0,0,0.0,0,0.0
872,46,0,0.0,0,0.0,0,0.0,1,0.08
872,56,0,0.0,0,0.0,0,0.0,0,0.0
872,168,0,0.0,0,0.0,0,0.0,0,0.0
872,552,0,0.0,0,0.0,0,0.0,0,0.0
872,177,0,0.0,0,0.0,0,0.0,0,0.0
904,213,0,0.0,0,0.0,0,0.0,0,0.0
904,140,0,0.0,0,0.0,0,0.0,0,0.0
904,139,0,0.0,0,0.0,0,0.0,0,0.0
904,126,0,0.0,0,0.0,0,0.0,0,0.0
904,102,0,0.0,0,0.0,0,0.0,0,0.0
920,12,0,0.0,0,0.0,0,0.0,1,0.1
