text_idx,gt_rank,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10,recall@50,precision@50
1,479,0,0.0,0,0.0,0,0.0,0,0.0
1,398,0,0.0,0,0.0,0,0.0,0,0.0
1,516,0,0.0,0,0.0,0,0.0,0,0.0
1,389,0,0.0,0,0.0,0,0.0,0,0.0
1,1005,0,0.0,0,0.0,0,0.0,0,0.0
15,20,0,0.0,0,0.0,0,0.0,1,0.1
15,10,0,0.0,0,0.0,0,0.0,1,0.1
15,25,0,0.0,0,0.0,0,0.0,1,0.1
15,10,0,0.0,0,0.0,0,0.0,1,0.1
15,88,0,0.0,0,0.0,0,0.0,0,0.0
30,264,0,0.0,0,0.0,0,0.0,0,0.0
30,30,0,0.0,0,0.0,0,0.0,1,0.1
30,67,0,0.0,0,0.0,0,0.0,0,0.0
30,177,0,0.0,0,0.0,0,0.0,0,0.0
30,23,0,0.0,0,0.0,0,0.0,1,0.1
40,201,0,0.0,0,0.0,0,0.0,0,0.0
40,489,0,0.0,0,0.0,0,0.0,0,0.0
40,217,0,0.0,0,0.0,0,0.0,0,0.0
40,346,0,0.0,0,0.0,0,0.0,0,0.0
40,285,0,0.0,0,0.0,0,0.0,0,0.0
52,190,0,0.0,0,0.0,0,0.0,0,0.0
52,694,0,0.0,0,0.0,0,0.0,0,0.0
52,386,0,0.0,0,0.0,0,0.0,0,0.0
52,387,0,0.0,0,0.0,0,0.0,0,0.0
52,170,0,0.0,0,0.0,0,0.0,0,0.0
59,35,0,0.0,0,0.0,0,0.0,1,0.1
59,72,0,0.0,0,0.0,0,0.0,0,0.0
59,172,0,0.0,0,0.0,0,0.0,0,0.0
59,24,0,0.0,0,0.0,0,0.0,1,0.1
59,82,0,0.0,0,0.0,0,0.0,0,0.0
70,356,0,0.0,0,0.0,0,0.0,0,0.0
70,141,0,0.0,0,0.0,0,0.0,0,0.0
70,5,0,0.0,0,0.0,1,0.5,1,0.1
70,0,1,1.0,1,1.0,1,0.5,1,0.1
70,0,1,1.0,1,1.0,1,0.5,1,0.1
98,39,0,0.0,0,0.0,0,0.0,1,0.1
98,219,0,0.0,0,0.0,0,0.0,0,0.0
98,64,0,0.0,0,0.0,0,0.0,0,0.0
98,5,0,0.0,0,0.0,1,0.5,1,0.1
98,221,0,0.0,0,0.0,0,0.0,0,0.0
108,33,0,0.0,0,0.0,0,0.0,1,0.1
108,46,0,0.0,0,0.0,0,0.0,1,0.08
108,24,0,0.0,0,0.0,0,0.0,1,0.1
108,56,0,0.0,0,0.0,0,0.0,0,0.0
108,33,0,0.0,0,0.0,0,0.0,1,0.1
120,0,1,1.0,1,1.0,1,0.5,1,0.1
120,160,0,0.0,0,0.0,0,0.0,0,0.0
120,30,0,0.0,0,0.0,0,0.0,1,0.1
120,43,0,0.0,0,0.0,0,0.0,1,0.1
120,63,0,0.0,0,0.0,0,0.0,0,0.0
121,439,0,0.0,0,0.0,0,0.0,0,0.0
121,0,1,1.0,1,1.0,1,0.5,1,0.1
121,0,1,1.0,1,1.0,1,0.5,1,0.1
121,109,0,0.0,0,0.0,0,0.0,0,0.0
121,17,0,0.0,0,0.0,0,0.0,1,0.1
123,24,0,0.0,0,0.0,0,0.0,1,0.1
123,352,0,0.0,0,0.0,0,0.0,0,0.0
123,67,0,0.0,0,0.0,0,0.0,0,0.0
123,24,0,0.0,0,0.0,0,0.0,1,0.1
123,29,0,0.0,0,0.0,0,0.0,1,0.1
126,64,0,0.0,0,0.0,0,0.0,0,0.0
126,9,0,0.0,0,0.0,1,0.1,1,0.1
126,5,0,0.0,0,0.0,1,0.5,1,0.1
126,29,0,0.0,0,0.0,0,0.0,1,0.1
126,5,0,0.0,0,0.0,1,0.5,1,0.1
129,42,0,0.0,0,0.0,0,0.0,1,0.1
129,78,0,0.0,0,0.0,0,0.0,0,0.0
129,34,0,0.0,0,0.0,0,0.0,1,0.1
129,43,0,0.0,0,0.0,0,0.0,1,0.1
129,29,0,0.0,0,0.0,0,0.0,1,0.1
168,4,0,0.0,1,0.2,1,0.5,1,0.1
168,4,0,0.0,1,0.2,1,0.5,1,0.1
168,0,1,1.0,1,1.0,1,0.5,1,0.1
168,4,0,0.0,1,0.2,1,0.5,1,0.1
168,29,0,0.0,0,0.0,0,0.0,1,0.1
201,5,0,0.0,0,0.0,1,0.5,1,0.1
201,81,0,0.0,0,0.0,0,0.0,0,0.0
201,100,0,0.0,0,0.0,0,0.0,0,0.0
201,5,0,0.0,0,0.0,1,0.5,1,0.1
201,352,0,0.0,0,0.0,0,0.0,0,0.0
204,54,0,0.0,0,0.0,0,0.0,0,0.0
204,28,0,0.0,0,0.0,0,0.0,1,0.1
204,144,0,0.0,0,0.0,0,0.0,0,0.0
204,54,0,0.0,0,0.0,0,0.0,0,0.0
204,58,0,0.0,0,0.0,0,0.0,0,0.0
212,89,0,0.0,0,0.0,0,0.0,0,0.0
212,219,0,0.0,0,0.0,0,0.0,0,0.0
212,152,0,0.0,0,0.0,0,0.0,0,0.0
212,506,0,0.0,0,0.0,0,0.0,0,0.0
212,814,0,0.0,0,0.0,0,0.0,0,0.0
217,889,0,0.0,0,0.0,0,0.0,0,0.0
217,912,0,0.0,0,0.0,0,0.0,0,0.0
217,216,0,0.0,0,0.0,0,0.0,0,0.0
217,561,0,0.0,0,0.0,0,0.0,0,0.0
217,514,0,0.0,0,0.0,0,0.0,0,0.0
223,1100,0,0.0,0,0.0,0,0.0,0,0.0
223,947,0,0.0,0,0.0,0,0.0,0,0.0
223,1135,0,0.0,0,0.0,0,0.0,0,0.0
223,593,0,0.0,0,0.0,0,0.0,0,0.0
223,409,0,0.0,0,0.0,0,0.0,0,0.0
234,69,0,0.0,0,0.0,0,0.0,0,0.0
234,59,0,0.0,0,0.0,0,0.0,0,0.0
234,0,1,1.0,1,1.0,1,0.5,1,0.1
234,44,0,0.0,0,0.0,0,0.0,1,0.1
234,5,0,0.0,0,0.0,1,0.5,1,0.1
239,0,1,1.0,1,0.8,1,0.4,1,0.08
239,50,0,0.0,0,0.0,0,0.0,0,0.0
239,238,0,0.0,0,0.0,0,0.0,0,0.0
239,5,0,0.0,0,0.0,1,0.4,1,0.08
248,29,0,0.0,0,0.0,0,0.0,1,0.1
248,58,0,0.0,0,0.0,0,0.0,0,0.0
248,854,0,0.0,0,0.0,0,0.0,0,0.0
248,141,0,0.0,0,0.0,0,0.0,0,0.0
248,590,0,0.0,0,0.0,0,0.0,0,0.0
254,19,0,0.0,0,0.0,0,0.0,1,0.1
254,9,0,0.0,0,0.0,1,0.1,1,0.1
254,19,0,0.0,0,0.0,0,0.0,1,0.1
254,10,0,0.0,0,0.0,0,0.0,1,0.1
254,9,0,0.0,0,0.0,1,0.1,1,0.1
266,105,0,0.0,0,0.0,0,0.0,0,0.0
266,20,0,0.0,0,0.0,0,0.0,1,0.1
266,36,0,0.0,0,0.0,0,0.0,1,0.1
266,210,0,0.0,0,0.0,0,0.0,0,0.0
266,24,0,0.0,0,0.0,0,0.0,1,0.1
301,10,0,0.0,0,0.0,0,0.0,1,0.1
301,10,0,0.0,0,0.0,0,0.0,1,0.1
301,15,0,0.0,0,0.0,0,0.0,1,0.1
301,10,0,0.0,0,0.0,0,0.0,1,0.1
301,50,0,0.0,0,0.0,0,0.0,0,0.0
306,10,0,0.0,0,0.0,0,0.0,1,0.08
306,10,0,0.0,0,0.0,0,0.0,1,0.08
306,0,1,1.0,1,0.8,1,0.4,1,0.08
306,0,1,1.0,1,0.8,1,0.4,1,0.08
323,5,0,0.0,0,0.0,1,0.5,1,0.1
323,0,1,1.0,1,1.0,1,0.5,1,0.1
323,0,1,1.0,1,1.0,1,0.5,1,0.1
323,0,1,1.0,1,1.0,1,0.5,1,0.1
323,0,1,1.0,1,1.0,1,0.5,1,0.1
341,0,1,1.0,1,1.0,1,0.5,1,0.1
341,24,0,0.0,0,0.0,0,0.0,1,0.1
341,33,0,0.0,0,0.0,0,0.0,1,0.1
341,93,0,0.0,0,0.0,0,0.0,0,0.0
341,0,1,1.0,1,1.0,1,0.5,1,0.1
345,736,0,0.0,0,0.0,0,0.0,0,0.0
345,5,0,0.0,0,0.0,1,0.5,1,0.1
345,204,0,0.0,0,0.0,0,0.0,0,0.0
345,5,0,0.0,0,0.0,1,0.5,1,0.1
345,0,1,1.0,1,1.0,1,0.5,1,0.1
348,44,0,0.0,0,0.0,0,0.0,1,0.08
348,0,1,1.0,1,0.8,1,0.4,1,0.08
348,10,0,0.0,0,0.0,0,0.0,1,0.08
348,0,1,1.0,1,0.8,1,0.4,1,0.08
363,673,0,0.0,0,0.0,0,0.0,0,0.0
363,147,0,0.0,0,0.0,0,0.0,0,0.0
363,98,0,0.0,0,0.0,0,0.0,0,0.0
363,148,0,0.0,0,0.0,0,0.0,0,0.0
375,107,0,0.0,0,0.0,0,0.0,0,0.0
375,0,1,1.0,1,1.0,1,0.5,1,0.1
375,0,1,1.0,1,1.0,1,0.5,1,0.1
375,0,1,1.0,1,1.0,1,0.5,1,0.1
375,0,1,1.0,1,1.0,1,0.5,1,0.1
391,102,0,0.0,0,0.0,0,0.0,0,0.0
391,64,0,0.0,0,0.0,0,0.0,0,0.0
